energy_source_level_1,energy_source_level_2,energy_source_level_3
Renewable energy,Bioenergy,Biomass and biogas
Renewable energy,Bioenergy,Other bioenergy and renewable waste
Renewable energy,Bioenergy,Sewage and landfill gas
Renewable energy,Hydro,
Renewable energy,Wind,
Renewable energy,Solar,
Renewable energy,Geothermal,
Renewable energy,Marine,
Fossil fuels,Natural gas,
Fossil fuels,Oil,
Fossil fuels,Hard coal,
Fossil fuels,Lignite,
Fossil fuels,Mixed fossil fuels,
Fossil fuels,Other fossil fuels,
Fossil fuels,Other fossil fuels,
Fossil fuels,Non-renewable waste,
Other or unspecified energy sources,,
Nuclear,,
