company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
Wien Energie GmbH,Simmering,Haidequerstraße 1,1110 ,Wien-Simmering,AT,1272.0,Natural gas,Combined cycle,,CHP,yes,2009,,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67831/channelId/-49066,14W-PROD-SIM---P,48.18331,16.43375
Wien Energie GmbH,Donaustadt,Primavesigasse 1,1220,Wien-Donaustadt,AT,347.0,Natural gas,Gas turbine,,CHP,yes,2001,,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67831/channelId/-49066,14W-PROD-DO----O,48.19878,16.46315
VERBUND Thermal Power GmbH & Co KG,Mellach Gas-Kombikraftwerk,Weißeneggweg 1,8410,Neudorf ob Wildon,AT,832.0,Natural gas,Combined cycle,,CHP,yes,2011,,https://www.verbund.com/de-de/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-WGM-KW-----J,46.908219,15.492162
VERBUND Thermal Power GmbH & Co KG,Mellach Fernheizkraftwerk,Weißeneggweg 1,8410,Neudorf ob Wildon,AT,246.0,Hard coal,Steam turbine,,CHP,yes,1986,,https://www.verbund.com/de-de/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-WML-KW-----0,46.908219,15.492162
EVN AG,Theiß,Ludwig Brucknerstraße 1,3494,,AT,800.0,Natural gas,Gas turbine,,CHP,yes,2000,,https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx,14W-KW-THE-EVN-7,48.394861,15.710147
EVN AG,Dürnrohr,Kraftwerkstraße 1,3435,Erpersdorf,AT,704.0,Mixed fossil fuels,Combined cycle,,CHP,yes,1987,,https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx,14W-KW-DU2-EVN-K,48.32695,15.91977
EVN AG,Korneuburg,Am Kraftwerk 13,2103,Langenzersdorf,AT,150.0,Natural gas,Combined cycle,,CHP,yes,1958,,https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx,14W-KW-KO2-EVN-5,48.33263,16.33981
Energie AG Oberösterreich Kraftwerke GmbH,Timelkam ,Mühlfeld 2,4850,Timelkam ,AT,400.0,Natural gas,Combined cycle,,CHP,yes,2008,,"http://www.energieag.at/eag_at/page/339536979223644121_593479839214310582~593479989806601884_593697955437600847,de.html",14WENERGIE--WT02,48.01256,13.59161
Energie AG Oberösterreich Kraftwerke GmbH,Riedersbach 2,Weilhartstraße 2,5120,,AT,168.0,Hard coal,Steam turbine,,CHP,yes,1987,,"http://www.energieag.at/eag_at/page/339536979223644121_593479839214310582~593479989806601884_593542887186798469,de.html",14WENERGIEAGWR05,48.03014,12.84165
Energie AG Oberösterreich Kraftwerke GmbH,Riedersbach 1,Weilhartstraße 2,5120,,AT,55.0,Hard coal,Steam turbine,,CHP,yes,1970,,"http://www.energieag.at/eag_at/page/339536979223644121_593479839214310582~593479989806601884_593507855554441027,de.html", ,48.03014,12.84165
LINZ AG,Linz-Mitte Fernheizkraftwerk,Nebingerstraße 1,4020 ,Linz,AT,217.0,Natural gas,Combined cycle,,CHP,yes,1970,,http://www.linzag.at/portal/portal/linzag/linzag/linzstrom/kraftwerke/linzmitte/centerWindow?plaginit=1&action=1,14WLSG-MITTE---U,48.299219,14.322935
LINZ AG,Linz-Süd Fernheizkraftwerk,Lunzerstraße 90,4030 ,Linz,AT,172.0,Natural gas,Combined cycle,,CHP,yes,1993,,http://www.linzag.at/portal/portal/linzag/linzag/linzstrom/kraftwerke/linzsd/centerWindow?plaginit=1&action=1,14WLSG-1SUED---5,48.267893,14.346898
Salzburg AG,Salzburg-Mitte Heizkraftwerk,Schwarzstraße 10,5020 ,Salzburg,AT,83.66,Natural gas,Combined cycle,,CHP,yes,2001,,https://www.salzburg-ag.at/herkunft/unsere-kraftwerke/heizkraftwerk-salzburg-mitte-2604/, ,47.80929,13.03819
Salzburg AG,Salzburg-Nord Heizkraftwerk,Wasserfeldstraße 30,5020 ,Salzburg,AT,13.5,Natural gas,Steam turbine,,CHP,yes,1994,,https://www.salzburg-ag.at/herkunft/unsere-kraftwerke/heizkraftwerk-salzburg-nord-2611/, ,47.82744,13.03398
Salzburg AG,Steigenberg Kaprun Heizkraftwerk,,,,AT,48.0,Other fossil fuels,Combined cycle,,CHP,yes,2009,,https://www.salzburg-ag.at/herkunft/unsere-kraftwerke/heizkraftwerk-steigenberg-kaprun-2637/, ,,
eww ag,Wels Fernheizkraftwerk,Durisolstraße 3,4600 ,Wels,AT,47.0,Natural gas,Combined cycle,,CHP,yes,2000,,(S. 7) https://www.eww.at/fileadmin/user_upload/eww/strom/docs/info/business/Wels-Strom-EMAS-Umwelterklaerung-2013.pdf, ,48.15184,14.00755
