company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,availability,eic_code,lat,lon
,Amager Power Station (Unit 1),,,,DK ,70,Biomass and biogas,,Zone: East (DK2),,,2009,,Energinet DK,1,45V000000000012C,55.68583,12.62621
,Amager Power Station (Unit 3),,,,DK ,265,Mixed fossil fuels,,Zone: East (DK2),,,1989,,Energinet DK,1,45V000000000012C,55.68583,12.62621
,Asnæs Power Station (Unit 2),,,,DK ,140,Mixed fossil fuels,,Zone: East (DK2),,,1961,,Energinet DK,1,45V000000000011E,55.66252,11.08156
,Asnæs Power Station (Unit 5),,,,DK ,665,Mixed fossil fuels,,Zone: East (DK2),,,1981,,Energinet DK,partly,45V000000000011E,55.66252,11.08156
,Avedøre Power Station (Unit 1),,,,DK ,265,Mixed fossil fuels,,Zone: East (DK2),,,1990,,Energinet DK,1,45V0000000000091,55.60358,12.48127
,Avedøre Power Station (Unit 2),,,,DK ,545,Mixed fossil fuels,,Zone: East (DK2),,,2002,,Energinet DK,1,45V0000000000091,55.60358,12.48127
,Enstedværket Blok 3,,,,DK ,665,Hard coal,Steam turbine,Zone: West (DK1),,,1979,,Energinet DK,0,45V0000000000237,55.02061,9.43489
,Esbjerg Power Station (Unit 3),,,,DK ,400,Mixed fossil fuels,,Zone: West (DK1),,,1992,,Energinet DK,1,45V0000000000164,55.45632,8.45523
,Fyn Power Station (Unit 7),,,,DK ,410,Hard coal,Steam turbine,Zone: West (DK1),,,1991,,Energinet DK,1,45V000000000013A,55.42938,10.41203
,Fyn Power Station (Unit 8),,,,DK ,35,Biomass and biogas,,Zone: West (DK1),,,2009,,Energinet DK,1,45V000000000013A,55.42938,10.41203
,H.C. Ørsted Power Station (Unit 7),,,,DK ,75,Natural gas,,Zone: East (DK2),,,1985,,Energinet DK,1,,55.65757,12.55563
,H.C. Ørsted Power Station (Unit 8),,,,DK ,25,Natural gas,,Zone: East (DK2),,,2004,,Energinet DK,1,,55.65757,12.55563
,H.C. Ørsted Power Station. Sec. 2 (Unit 1-4),,,,DK ,10,Natural gas,,Zone: East (DK2),,,1954,,Energinet DK,0,,55.65757,12.55563
,Herning Power Station,,,,DK ,90,Biomass and biogas,,Zone: West (DK1),,,1982,,Energinet DK,1,,56.12128,9.0064
,Kyndby Power Station (Unit 21),,,,DK ,260,Oil,,Zone: East (DK2),,,1974,,Energinet DK,1,45V0000000000083,55.81028,11.87987
,Kyndby Power Station (Unit 22),,,,DK ,260,Oil,,Zone: East (DK2),,,1976,,Energinet DK,1,45V0000000000083,55.81028,11.87987
,Kyndby Power Station (Unit 41),,,,DK ,20,Oil,,Zone: East (DK2),,,1974,,Energinet DK,1,45V0000000000083,55.81028,11.87987
,Kyndby Power Station (Unit 51+52),,,,DK ,125,Oil,,Zone: East (DK2),,,1973,,Energinet DK,1,45V0000000000083,55.81028,11.87987
,Masnedø Power Station (Unit 31),,,,DK ,70,UNKNOWN,,Zone: East (DK2),,,1975,,Energinet DK,1,,54.99552,11.88538
,Nordjylland Power Station (Gas Turbine Unit),,,,DK ,25,Hard coal,Steam turbine,Zone: West (DK1),,,1976,,Energinet DK,1,45V0000000000156,57.0726,10.04252
,Nordjylland Power Station (Unit 2),,,,DK ,220,Hard coal,Steam turbine,Zone: West (DK1),,,1977,,Energinet DK,partly,45V0000000000156,57.0726,10.04252
,Nordjylland Power Station (Unit 3),,,,DK ,410,Hard coal,Steam turbine,Zone: West (DK1),,,1998,,Energinet DK,1,45V0000000000156,57.0726,10.04252
,Østkraft,,,,DK ,90,UNKNOWN,,Zone: East (DK2),,,2014,,Energinet DK,1,,55.09371,14.69715
,Skærbæk Power Station (Unit 3),,,,DK ,430,Natural gas,,Zone: West (DK1),,,1997,,Energinet DK,1,45V000000000010G,55.51132,9.61331
,Stigsnæs Power Station (Unit 2),,,,DK ,265,Mixed fossil fuels,,Zone: East (DK2),,,1970,,Energinet DK,0,45V0000000000172,55.20529,11.25351
,Studstrup Power Station (Unit 3),,,,DK ,380,Hard coal,Steam turbine,Zone: West (DK1),,,1984,,Energinet DK,1,45V0000000000148,56.24895,10.34725
,Studstrup Power Station (Unit 4),,,,DK ,380,Hard coal,Steam turbine,Zone: West (DK1),,,1985,,Energinet DK,partly,45V0000000000148,56.24895,10.34725
,Studstrup Power Station (Unit 5),,,,DK ,15,Hard coal,Steam turbine,Zone: West (DK1),,,1986,,Energinet DK,1,45V0000000000148,56.24895,10.34725
,Svanemølle Power Station (Unit 1-3),,,,DK ,10,Mixed fossil fuels,,Zone: East (DK2),,,1953,,Energinet DK,0,,55.71259,12.58786
,Svanemølle Power Station (Unit 7),,,,DK ,60,Mixed fossil fuels,,Zone: East (DK2),,,1995,,Energinet DK,0,,55.71259,12.58786
