,name,eic_code,lat,lon
0,Adamów B1,19W000000000005K,52.01215,18.54445
1,Adamów B2,19W000000000005K,52.01215,18.54445
2,Adamów B3,19W000000000005K,52.01215,18.54445
3,Adamów B4,19W000000000005K,52.01215,18.54445
4,Adamów B5,19W000000000005K,52.01215,18.54445
5,Be?chatów B01,19W000000000016F,51.26719,19.31765
6,Be?chatów B02,19W000000000016F,51.26719,19.31765
7,Be?chatów B03,19W000000000016F,51.26719,19.31765
8,Be?chatów B04,19W000000000016F,51.26719,19.31765
9,Be?chatów B05,19W000000000016F,51.26719,19.31765
10,Be?chatów B06,19W000000000016F,51.26719,19.31765
11,Be?chatów B07,19W000000000016F,51.26719,19.31765
12,Be?chatów B08,19W000000000016F,51.26719,19.31765
13,Be?chatów B09,19W000000000016F,51.26719,19.31765
14,Be?chatów B10,19W000000000016F,51.26719,19.31765
15,Be?chatów B11,19W000000000016F,51.26719,19.31765
16,Be?chatów B12,19W000000000016F,51.26719,19.31765
17,Be?chatów B14,19W000000000016F,51.26719,19.31765
18,Dolna Odra B1,19W000000000043C,53.20981,14.46696
19,Dolna Odra B2,19W000000000043C,53.20981,14.46696
20,Dolna Odra B5,19W000000000043C,53.20981,14.46696
21,Dolna Odra B6,19W000000000043C,53.20981,14.46696
22,Dolna Odra B7,19W000000000043C,53.20981,14.46696
23,Dolna Odra B8,19W000000000043C,53.20981,14.46696
24,Dychów H1,,51.56076,15.45145
25,Dychów H2,,51.56076,15.45145
26,Dychów H3,,51.56076,15.45145
27,Jaworzno 3 B1,19W0000000000636,50.21356,19.2287
28,Jaworzno 3 B2,19W0000000000636,50.21356,19.2287
29,Jaworzno 3 B3,19W0000000000636,50.21356,19.2287
30,Jaworzno 3 B4,19W0000000000636,50.21356,19.2287
31,Jaworzno 3 B5,19W0000000000636,50.21356,19.2287
32,Jaworzno 3 B6,19W0000000000636,50.21356,19.2287
33,Karolin 2 Bl3,19W0000000000741,52.43639,16.98836
34,Kozienice 1 B1,19W000000000095U,51.66506,21.46532
35,Kozienice 1 B2,19W000000000095U,51.66506,21.46532
36,Kozienice 1 B3,19W000000000095U,51.66506,21.46532
37,Kozienice 1 B4,19W000000000095U,51.66506,21.46532
38,Kozienice 1 B5,19W000000000095U,51.66506,21.46532
39,Kozienice 1 B6,19W000000000095U,51.66506,21.46532
40,Kozienice 1 B7,19W000000000095U,51.66506,21.46532
41,Kozienice 1 B8,19W000000000095U,51.66506,21.46532
42,Kozienice 2 B09,19W000000000104I,51.66256,21.45766
43,Kozienice 2 B10,19W000000000104I,51.66256,21.45766
44,?agisza B10,19W000000000111L,50.34965,19.14101
45,?agisza B5,19W000000000111L,50.34965,19.14101
46,?agisza B6,19W000000000111L,50.34965,19.14101
47,?agisza B7,19W000000000111L,50.34965,19.14101
48,?aziska 2 B1,19W000000000116B,50.13236,18.84039
49,?aziska 2 B2,19W000000000116B,50.13236,18.84039
50,?aziska 3 B09,19W0000000001195,50.13236,18.84039
51,?aziska 3 B10,19W0000000001195,50.13236,18.84039
52,?aziska 3 B11,19W0000000001195,50.13236,18.84039
53,?aziska 3 B12,19W0000000001195,50.13236,18.84039
54,Opole B1,19W0000000001292,50.75066,17.88729
55,Opole B2,19W0000000001292,50.75066,17.88729
56,Opole B3,19W0000000001292,50.75066,17.88729
57,Opole B4,19W0000000001292,50.75066,17.88729
58,Ostro??ka B B01,19W0000000001349,53.10462,21.61312
59,Ostro??ka B B02,19W0000000001349,53.10462,21.61312
60,Ostro??ka B B03,19W0000000001349,53.10462,21.61312
61,P?tnów 1 B1,19W000000000142A,52.3024,18.23807
62,P?tnów 1 B2,19W000000000142A,52.3024,18.23807
63,P?tnów 1 B3,19W000000000142A,52.3024,18.23807
64,P?tnów 1 B4,19W000000000142A,52.3024,18.23807
65,P?tnów 1 B5,19W000000000142A,52.3024,18.23807
66,P?tnów 1 B6,19W000000000142A,52.3024,18.23807
67,P?tnów 2 B9,19W000000000149X,52.3024,18.23807
68,Po?aniec B1,19W0000000001519,50.43534,21.33674
69,Po?aniec B2,19W0000000001519,50.43534,21.33674
70,Po?aniec B3,19W0000000001519,50.43534,21.33674
71,Po?aniec B4,19W0000000001519,50.43534,21.33674
72,Po?aniec B5,19W0000000001519,50.43534,21.33674
73,Po?aniec B6,19W0000000001519,50.43534,21.33674
74,Po?aniec B7,19W0000000001519,50.43534,21.33674
75,Por?bka ?ar H1,19W000000000247X,49.77957,19.212
76,Por?bka ?ar H2,19W000000000247X,49.77957,19.212
77,Por?bka ?ar H3,19W000000000247X,49.77957,19.212
78,Por?bka ?ar H4,19W000000000247X,49.77957,19.212
79,Rybnik B1,19W0000000001713,50.1317,18.52045
80,Rybnik B2,19W0000000001713,50.1317,18.52045
81,Rybnik B3,19W0000000001713,50.1317,18.52045
82,Rybnik B4,19W0000000001713,50.1317,18.52045
83,Rybnik B5,19W0000000001713,50.1317,18.52045
84,Rybnik B6,19W0000000001713,50.1317,18.52045
85,Rybnik B7,19W0000000001713,50.1317,18.52045
86,Rybnik B8,19W0000000001713,50.1317,18.52045
87,Siersza B1,19W0000000002361,50.20761,19.46145
88,Siersza B2,19W0000000002361,50.20761,19.46145
89,Siersza B3,19W0000000002361,50.20761,19.46145
90,Siersza B5,19W0000000002361,50.20761,19.46145
91,Siersza B6,19W0000000002361,50.20761,19.46145
92,Solina Hydrozespó? H1,19W0000000002515,49.39578,22.454
93,Solina Hydrozespó? H2,19W0000000002515,49.39578,22.454
94,Solina Hydrozespó? H3,19W0000000002515,49.39578,22.454
95,Solina Hydrozespó? H4,19W0000000002515,49.39578,22.454
96,Stalowa Wola 3 B7,19W000000000193U,50.55071,22.07761
97,Stalowa Wola 3 B8,19W000000000193U,50.55071,22.07761
98,Turów B01,19W000000000199I,50.94818,14.91255
99,Turów B02,19W000000000199I,50.94818,14.91255
100,Turów B03,19W000000000199I,50.94818,14.91255
101,Turów B04,19W000000000199I,50.94818,14.91255
102,Turów B05,19W000000000199I,50.94818,14.91255
103,Turów B06,19W000000000199I,50.94818,14.91255
104,?arnowiec H1,19W0000000002418,54.74201,18.08924
105,?arnowiec H2,19W0000000002418,54.74201,18.08924
106,?arnowiec H3,19W0000000002418,54.74201,18.08924
107,?arnowiec H4,19W0000000002418,54.74201,18.08924
108,?ydowo H1,19W0000000002426,54.02601,16.71386
109,?ydowo H2,19W0000000002426,54.02601,16.71386
110,?ydowo H3,19W0000000002426,54.02601,16.71386
